revision;file;methodSignature
/home/arthur/analysis/projects/netty-socketio/revisions/rev_2e9b5ef_e797a71/rev_2e9b5ef-e797a71;/src/main/java/com/corundumstudio/socketio/AckManager;registerAck(UUID,AckCallback);public long registerAck(UUID sessionId, final AckCallback callback) {
/home/arthur/analysis/projects/glide/revisions/rev_347118b_a55e201/rev_347118b-a55e201;/library/src/com/bumptech/glide/presenter/target/ImageViewTarget;getSize(SizeReadyCallback);
/home/arthur/analysis/projects/glide/revisions/rev_347118b_a55e201/rev_347118b-a55e201;/library/src/com/bumptech/glide/resize/load/Downsampler;downsample(RecyclableBufferedInputStream,BitmapFactory.Options,BitmapPool,int,int);
/home/arthur/analysis/projects/glide/revisions/rev_347118b_a55e201/rev_347118b-a55e201;/library/src/com/bumptech/glide/resize/load/ImageResizer;rotateImageExif(Bitmap,BitmapPool,int);
/home/arthur/analysis/projects/glide/revisions/rev_809f3b3_0b2cafb/rev_809f3b3-0b2cafb;/library/src/com/bumptech/glide/resize/ImageManager;getImage(String,StreamLoader,Transformation,Downsampler,int,int,LoadedCallback);
/home/arthur/analysis/projects/glide/revisions/rev_a7fbd5b_60b0657/rev_a7fbd5b-60b0657;/library/src/com/bumptech/glide/presenter/target/ImageViewTarget;getSize(SizeReadyCallback);public void getSize(SizeReadyCallback cb) {
/home/arthur/analysis/projects/glide/revisions/rev_a7fbd5b_60b0657/rev_a7fbd5b-60b0657;/library/src/com/bumptech/glide/resize/ImageManager;cancel(LoadedCallback);public void cancel(LoadedCallback cb) {
/home/arthur/analysis/projects/glide/revisions/rev_a7fbd5b_60b0657/rev_a7fbd5b-60b0657;/library/src/com/bumptech/glide/loader/model/UriLoader;getStreamLoader(Uri,int,int);@Override    public StreamLoader getStreamLoader(Uri model, int width, int height) {
/home/arthur/analysis/projects/glide/revisions/rev_a7fbd5b_60b0657/rev_a7fbd5b-60b0657;/samples/flickr/src/com/bumptech/glide/samples/flickr/FlickrSearchActivity;executeSearch();private void executeSearch() {
/home/arthur/analysis/projects/glide/revisions/rev_a7fbd5b_60b0657/rev_a7fbd5b-60b0657;/library/src/com/bumptech/glide/Glide;isIdenticalTo(Metadata);public boolean isIdenticalTo(Metadata metadata) {
/home/arthur/analysis/projects/glide/revisions/rev_a7fbd5b_60b0657/rev_a7fbd5b-60b0657;/library/src/com/bumptech/glide/resize/bitmap_recycle/SizeStrategy;getBytesPerPixel(Bitmap.Config);private static int getBytesPerPixel(Bitmap.Config config) {
/home/arthur/analysis/projects/glide/revisions/rev_a7fbd5b_60b0657/rev_a7fbd5b-60b0657;/library/src/com/bumptech/glide/resize/load/ImageResizer;centerCrop(Bitmap,Bitmap,int,int);public static Bitmap centerCrop(Bitmap recycled, Bitmap toCrop, int width, int height) {
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_be72194_7594310/rev_be72194-7594310;/library/src/main/java/com/google/android/exoplayer/MediaCodecAudioTrackRenderer;processOutputBuffer(long,MediaCodec,ByteBuffer,MediaCodec.BufferInfo,int,boolean);@Override  protected boolean processOutputBuffer(long timeUs, MediaCodec codec, ByteBuffer buffer,      MediaCodec.BufferInfo bufferInfo, int bufferIndex, boolean shouldSkip)      throws ExoPlaybackException {
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_be72194_7594310/rev_be72194-7594310;/library/src/main/java/com/google/android/exoplayer/MediaCodecVideoTrackRenderer;processOutputBuffer(long,MediaCodec,ByteBuffer,MediaCodec.BufferInfo,int,boolean);@Override  protected boolean processOutputBuffer(long timeUs, MediaCodec codec, ByteBuffer buffer,      MediaCodec.BufferInfo bufferInfo, int bufferIndex, boolean shouldSkip) {
/home/arthur/analysis/projects/glide/revisions/rev_f389e91_431ccaf/rev_f389e91-431ccaf;/integration/volley/src/main/java/com/bumptech/glide/integration/volley/VolleyUrlLoader;getResourceFetcher(GlideUrl,int,int);
/home/arthur/analysis/projects/glide/revisions/rev_f389e91_431ccaf/rev_f389e91-431ccaf;/library/src/main/java/com/bumptech/glide/GenericRequestBuilder;buildRequestRecursive(Target<TranscodeType>,ThumbnailRequestCoordinator);
/home/arthur/analysis/projects/glide/revisions/rev_f389e91_431ccaf/rev_f389e91-431ccaf;/library/src/main/java/com/bumptech/glide/request/GenericRequest;begin();
/home/arthur/analysis/projects/glide/revisions/rev_e161ca9_7e0f873/rev_e161ca9-7e0f873;/samples/svg/src/main/java/com/bumptech/svgsample/app/MainActivity;loadNet();
/home/arthur/analysis/projects/glide/revisions/rev_e161ca9_7e0f873/rev_e161ca9-7e0f873;/library/src/androidTest/java/com/bumptech/glide/load/data/HttpUrlFetcherTest;testReturnsModelAsString();@Test    public void testReturnsModelAsString() {
/home/arthur/analysis/projects/glide/revisions/rev_e161ca9_7e0f873/rev_e161ca9-7e0f873;/library/src/main/java/com/bumptech/glide/request/GenericRequest;onResourceReady(Resource<?>,R);private void onResourceReady(Resource<?> resource, R result) {
/home/arthur/analysis/projects/glide/revisions/rev_e161ca9_7e0f873/rev_e161ca9-7e0f873;/integration/okhttp/src/main/java/com/bumptech/glide/integration/okhttp/OkHttpStreamFetcher;getId();@Override    public String getId() {
/home/arthur/analysis/projects/glide/revisions/rev_e161ca9_7e0f873/rev_e161ca9-7e0f873;/library/src/androidTest/java/com/bumptech/glide/load/data/ThumbnailStreamOpenerTest;testImageQueryReturnsImageCurosr();@Test    public void testImageQueryReturnsImageCurosr() {
/home/arthur/analysis/projects/glide/revisions/rev_e161ca9_7e0f873/rev_e161ca9-7e0f873;/integration/volley/src/main/java/com/bumptech/glide/integration/volley/VolleyStreamFetcher;getId();@Override    public String getId() {
/home/arthur/analysis/projects/glide/revisions/rev_e161ca9_7e0f873/rev_e161ca9-7e0f873;/library/src/main/java/com/bumptech/glide/load/data/HttpUrlFetcher;getId();@Override    public String getId() {
/home/arthur/analysis/projects/glide/revisions/rev_e161ca9_7e0f873/rev_e161ca9-7e0f873;/library/src/main/java/com/bumptech/glide/load/engine/cache/InternalCacheDiskCacheFactory;build();
/home/arthur/analysis/projects/glide/revisions/rev_e161ca9_7e0f873/rev_e161ca9-7e0f873;/library/src/androidTest/java/com/bumptech/glide/load/data/MediaStoreThumbFetcherTest;testReturnsInputStreamFromThumbnailOpener();@Test    public void testReturnsInputStreamFromThumbnailOpener() throws Exception {
/home/arthur/analysis/projects/glide/revisions/rev_e161ca9_7e0f873/rev_e161ca9-7e0f873;/library/src/main/java/com/bumptech/glide/load/resource/bitmap/Downsampler;getRoundedSampleSize(int,int,int,int,int);private int getRoundedSampleSize(int degreesToRotate, int inWidth, int inHeight, int outWidth, int outHeight) {
/home/arthur/analysis/projects/glide/revisions/rev_e161ca9_7e0f873/rev_e161ca9-7e0f873;/library/src/main/java/com/bumptech/glide/GenericRequestBuilder;obtainRequest(Target<TranscodeType>,float,Priority,RequestCoordinator);private Request obtainRequest(Target<TranscodeType> target, float sizeMultiplier, Priority priority,            RequestCoordinator requestCoordinator) {
/home/arthur/analysis/projects/glide/revisions/rev_e161ca9_7e0f873/rev_e161ca9-7e0f873;/library/src/main/java/com/bumptech/glide/load/data/MediaStoreThumbFetcher;open(Context,Uri);public InputStream open(Context context, Uri uri) throws FileNotFoundException {
/home/arthur/analysis/projects/glide/revisions/rev_e161ca9_7e0f873/rev_e161ca9-7e0f873;/samples/svg/src/main/java/com/bumptech/svgsample/app/SvgDrawableTranscoder;transcode(Resource<SVG>);
/home/arthur/analysis/projects/glide/revisions/rev_e161ca9_7e0f873/rev_e161ca9-7e0f873;/library/src/androidTest/java/com/bumptech/glide/request/GenericRequestTest;testEngineLoadPassedCorrectPriority();@Test    public void testEngineLoadPassedCorrectPriority() {
/home/arthur/analysis/projects/glide/revisions/rev_e161ca9_7e0f873/rev_e161ca9-7e0f873;/library/src/main/java/com/bumptech/glide/request/target/SquaringDrawable;getIntrinsicHeight();@Override    public int getIntrinsicHeight() {
/home/arthur/analysis/projects/glide/revisions/rev_e161ca9_7e0f873/rev_e161ca9-7e0f873;/library/src/main/java/com/bumptech/glide/request/animation/DrawableCrossFadeFactory;build();@Override        public Animation build() {
/home/arthur/analysis/projects/okio/revisions/rev_89e1341_c8a36a6/rev_89e1341-c8a36a6;/okhttp-protocols/src/main/java/com/squareup/okhttp/internal/bytes/GzipSource;read(OkBuffer,long,Deadline);
/home/arthur/analysis/projects/java/revisions/rev_3b20004_63678dd/rev_3b20004-63678dd;/java/src/com/pubnub/api/Pubnub;pamAudit(String,String,Callback);
/home/arthur/analysis/projects/netty-socketio/revisions/rev_69f66e4_cbcfbfa/rev_69f66e4-cbcfbfa;/src/main/java/com/corundumstudio/socketio/protocol/PacketDecoder;decode(UUID,ByteBuf);
/home/arthur/analysis/projects/java/revisions/rev_0f0a6a3_6caaea9/rev_0f0a6a3-6caaea9;/java/srcPubnubApi/com/pubnub/api/PubnubCore;channelGroupUnsubscribeAllGroups();
/home/arthur/analysis/projects/java/revisions/rev_45c9719_e3860f0/rev_45c9719-e3860f0;/src/test/java/com.pubnub.api/endpoints/EndpointTest;testUUID();
/home/arthur/analysis/projects/java/revisions/rev_bb2e795_2bf2aee/rev_bb2e795-2bf2aee;/java/examples/eclipse_project_console/srcPubnubApi/srcCore/com/pubnub/api/PubnubCore;_publish(Hashtable,boolean);protected Object _publish(Hashtable args, boolean sync) {
/home/arthur/analysis/projects/java/revisions/rev_bb2e795_2bf2aee/rev_bb2e795-2bf2aee;/java/srcPubnubApi/srcCore/com/pubnub/api/PubnubCoreAsync;_subscribe_base(boolean,boolean,Worker);private void _subscribe_base(boolean fresh, boolean dar, Worker worker) {
/home/arthur/analysis/projects/java/revisions/rev_bb2e795_2bf2aee/rev_bb2e795-2bf2aee;/scala/scala-pubnub-tests/java/srcPubnubApi/srcCore/com/pubnub/api/PubnubCoreAsync;_subscribe_base(boolean,boolean,Worker);private void _subscribe_base(boolean fresh, boolean dar, Worker worker) {
/home/arthur/analysis/projects/java/revisions/rev_bb2e795_2bf2aee/rev_bb2e795-2bf2aee;/scala/scala-pubnub-tests/java/srcPubnubApi/srcCore/com/pubnub/api/PubnubCore;_publish(Hashtable,boolean);protected Object _publish(Hashtable args, boolean sync) {
/home/arthur/analysis/projects/java/revisions/rev_bb2e795_2bf2aee/rev_bb2e795-2bf2aee;/java/examples/eclipse_project_console/srcPubnubApi/srcCore/com/pubnub/api/PubnubCoreAsync;_subscribe_base(boolean,boolean,Worker);private void _subscribe_base(boolean fresh, boolean dar, Worker worker) {
/home/arthur/analysis/projects/java/revisions/rev_bb2e795_2bf2aee/rev_bb2e795-2bf2aee;/java/srcPubnubApi/srcCore/com/pubnub/api/PubnubCore;_publish(Hashtable,boolean);protected Object _publish(Hashtable args, boolean sync) {
/home/arthur/analysis/projects/java/revisions/rev_09cb418_cab09fa/rev_09cb418-cab09fa;/src/main/java/com/pubnub/api/Crypto;newCryptoError(int,String);private static PubNubError newCryptoError(int code, String message) {
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_9208c65_6c5af23/rev_9208c65-6c5af23;/library/src/main/java/com/google/android/exoplayer/hls/parser/TsExtractor;consume(ParsableByteArray,boolean);@Override    public void consume(ParsableByteArray data, boolean payloadUnitStartIndicator) {
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_2c54363_8caaf0b/rev_2c54363-8caaf0b;/demo/src/main/java/com/google/android/exoplayer2/demo/EventLogger;onTrackSelectionsChanged(TrackSelections<?extendsMappedTrackInfo>);
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_e65110e_d79f8f6/rev_e65110e-d79f8f6;/library/src/main/java/com/google/android/exoplayer2/extractor/ts/H265Reader;init(ExtractorOutput,TrackIdGenerator);
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_2e7f9fb_0cacd38/rev_2e7f9fb-0cacd38;/library/src/main/java/com/google/android/exoplayer2/source/ClippingMediaPeriod;readData(FormatHolder,DecoderInputBuffer);@Override    public int readData(FormatHolder formatHolder, DecoderInputBuffer buffer) {
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_7761cdc_6577013/rev_7761cdc-6577013;/library/src/main/java/com/google/android/exoplayer2/BaseRenderer;skipToKeyframeBefore(long);
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_7761cdc_6577013/rev_7761cdc-6577013;/library/src/main/java/com/google/android/exoplayer2/source/dash/DefaultDashChunkSource;getNextChunk(MediaChunk,long,ChunkHolder);
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_e713ddc_cbffc14/rev_e713ddc-cbffc14;/library/ui/src/main/java/com/google/android/exoplayer2/ui/DefaultTimeBar;setAdBreakTimesMs(long[],int);
